1 -0.00  -0.00  0.00  289.19  289.19  295.97  
2 9.39  9.39  17.38  289.37  289.37  295.94  
3 18.63  18.63  34.72  289.93  289.93  295.87  
4 27.55  27.55  51.97  290.85  290.85  295.75  
5 36.04  36.04  69.08  292.11  292.11  295.59  
6 43.98  43.98  86.01  293.67  293.67  295.41  
7 51.29  51.29  102.68  295.22  295.52  295.52  
8 57.93  57.93  119.02  295.05  297.59  297.59  
9 63.87  63.87  134.94  294.91  299.84  299.84  
10 69.11  69.11  150.33  294.85  302.21  302.21  
11 73.68  73.68  165.06  294.90  304.64  304.64  
12 77.60  77.60  178.97  295.09  307.06  307.06  
13 80.94  80.94  191.89  295.49  309.42  309.42  
14 83.72  83.72  203.61  296.13  311.65  311.65  
15 86.02  86.02  213.95  297.04  313.70  313.70  
16 87.87  87.87  222.74  298.19  315.52  315.52  
17 89.31  89.31  229.86  299.54  317.06  317.06  
18 90.40  90.40  235.28  300.92  318.30  318.30  
19 91.15  91.15  239.05  302.13  319.21  319.21  
20 91.60  91.60  241.25  302.97  319.76  319.76  
21 91.74  91.74  241.98  303.27  319.94  319.94  
22 91.58  94.96  241.92  300.80  319.75  321.46  
23 91.06  103.18  241.70  295.30  319.18  324.36  
24 90.17  113.39  241.06  289.13  318.24  327.06  
25 88.83  122.92  239.42  283.94  316.96  329.06  
26 86.96  130.12  236.01  281.04  315.35  330.25  
27 84.50  134.28  230.50  280.89  313.47  330.55  
28 81.34  135.30  223.31  282.88  311.35  329.93  
29 77.44  133.41  215.05  285.98  309.05  328.35  
30 72.76  129.01  206.07  289.32  306.64  325.83  
31 67.32  122.50  196.32  292.35  304.17  322.41  
32 61.19  114.29  185.52  294.75  301.72  318.26  
33 54.48  104.69  173.27  296.41  299.36  313.62  
34 47.38  93.97  159.11  297.15  297.31  308.83  
35 40.08  82.30  142.69  295.14  297.48  304.29  
36 32.79  69.83  123.82  293.38  296.80  300.55  
37 25.66  56.70  102.53  291.90  294.89  298.39  
38 18.82  43.02  79.03  290.72  292.54  297.32  
39 12.31  28.91  53.74  289.87  290.69  296.59  
40 6.08  14.53  27.20  289.36  289.56  296.13  
41 -0.00  -0.00  0.00  289.19  289.19  295.97  
42 5.59  5.59  17.71  289.28  289.28  296.06  
43 11.11  11.11  35.29  289.54  289.54  296.32  
44 16.51  16.51  52.61  289.98  289.98  296.78  
45 21.73  21.73  69.54  290.58  290.58  297.43  
46 26.72  26.72  85.96  291.33  291.33  298.29  
47 31.44  31.44  101.73  292.21  292.21  299.37  
48 35.86  35.86  116.73  293.20  293.20  300.68  
49 39.95  39.95  130.83  294.27  294.27  302.25  
50 43.68  43.68  143.91  295.41  295.41  304.07  
51 47.07  47.07  155.87  296.57  296.57  306.14  
52 50.09  50.09  166.63  297.74  297.74  308.44  
53 52.76  52.76  176.14  298.88  298.88  310.93  
54 55.07  55.07  184.37  299.97  299.97  313.53  
55 57.05  57.05  191.33  300.97  300.97  316.15  
56 58.70  58.70  197.06  301.87  301.87  318.66  
57 60.03  60.03  201.62  302.64  302.64  320.95  
58 61.05  61.05  205.08  303.25  303.25  322.89  
59 61.77  61.77  207.49  303.71  303.71  324.36  
60 62.21  62.21  208.92  303.98  303.98  325.29  
61 62.35  62.35  209.39  304.07  304.07  325.60  
