1 -0.00  -0.00  0.00  233.17  233.17  529.48  
2 8.81  8.81  14.19  233.45  233.45  528.90  
3 17.52  17.52  28.39  234.30  234.30  527.14  
4 26.03  26.03  42.61  235.71  235.71  524.23  
5 34.25  34.25  56.89  237.65  237.65  520.17  
6 42.11  42.11  71.21  240.10  240.10  514.99  
7 49.53  49.53  85.61  243.01  243.01  508.73  
8 56.45  56.45  100.08  246.33  246.33  501.42  
9 62.84  62.84  114.63  249.98  249.98  493.12  
10 68.66  68.66  129.26  253.90  253.90  483.89  
11 73.90  73.90  143.96  257.97  257.97  473.80  
12 78.57  78.57  158.70  262.11  262.11  462.95  
13 82.66  82.66  173.43  266.20  266.20  451.46  
14 86.21  86.21  188.08  270.13  270.13  439.47  
15 89.22  89.22  202.52  273.78  273.78  427.18  
16 91.72  91.72  216.56  277.07  277.07  414.83  
17 93.73  93.73  229.88  279.90  279.90  402.82  
18 95.27  95.27  241.96  282.18  282.18  391.69  
19 96.36  96.36  252.02  283.86  283.86  382.29  
20 97.01  97.01  258.90  284.89  284.89  375.79  
21 97.22  97.22  261.39  285.23  285.23  373.43  
22 97.26  98.26  257.34  284.14  290.85  372.45  
23 97.35  101.28  249.81  280.90  302.80  369.67  
24 97.42  106.02  241.87  275.61  316.98  365.68  
25 97.35  112.13  233.82  268.41  330.44  362.53  
26 97.09  119.17  225.39  259.56  336.24  366.79  
27 96.59  126.69  216.21  249.35  331.80  380.78  
28 95.84  134.12  205.97  238.25  323.44  397.99  
29 94.83  140.74  194.51  226.95  313.79  415.64  
30 93.52  145.35  181.75  216.61  303.65  432.79  
31 91.79  146.14  167.79  209.08  293.37  449.00  
32 89.44  141.41  152.79  206.06  283.20  463.99  
33 86.16  131.42  136.95  207.32  273.38  477.59  
34 81.59  117.99  120.49  211.07  264.16  489.69  
35 75.38  102.66  103.60  215.75  255.85  500.23  
36 67.23  86.31  86.45  220.49  248.71  509.17  
37 57.01  69.16  69.41  224.78  242.91  516.49  
38 44.82  51.81  52.21  228.34  238.52  522.18  
39 30.94  34.48  34.87  230.99  235.50  526.24  
40 15.81  17.21  17.45  232.62  233.74  528.67  
41 -0.00  -0.00  0.00  233.17  233.17  529.48  
42 9.77  9.77  12.09  233.10  233.10  529.22  
43 19.52  19.52  24.15  232.90  232.90  528.45  
44 29.21  29.21  36.11  232.56  232.56  527.18  
45 38.83  38.83  47.95  232.07  232.07  525.43  
46 48.33  48.33  59.60  231.43  231.43  523.23  
47 57.70  57.70  71.03  230.63  230.63  520.62  
48 66.90  66.90  82.18  229.65  229.65  517.65  
49 75.91  75.91  92.99  228.49  228.49  514.37  
50 84.67  84.67  103.39  227.14  227.14  510.85  
51 93.15  93.15  113.32  225.60  225.60  507.16  
52 101.32  101.32  122.70  223.87  223.87  503.39  
53 109.10  109.10  131.45  221.96  221.96  499.62  
54 116.45  116.45  139.48  219.90  219.90  495.95  
55 123.27  123.27  146.71  217.74  217.74  492.48  
56 129.48  129.48  153.03  215.53  215.53  489.31  
57 134.94  134.94  158.36  213.39  213.39  486.55  
58 139.49  139.49  162.61  211.43  211.43  484.29  
59 142.96  142.96  165.71  209.84  209.84  482.61  
60 145.14  145.14  167.59  208.78  208.78  481.57  
61 145.89  145.89  168.22  208.41  208.41  481.22  
